Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
000001.SS,1997-07-02,1255.909058,1261.571045,1147.331055,1199.061035,1199.061035,0.0,191.84976560000000
000001.SS,1997-07-03,1194.676025,1194.676025,1149.939941,1150.623047,1150.623047,0.0,184.09968752
000001.SS,1997-07-04,1138.921021,1163.249023,1124.776001,1159.342041,1159.342041,0.0,185.49472656000000
000001.SS,1997-07-07,1161.707031,1163.447021,1085.572021,1096.81897,1096.81897,0.0,175.4910352
000001.SS,1997-07-08,1092.79895,1115.432983,1066.043945,1109.666016,1109.666016,0.0,177.54656256000000
000001.SS,1997-07-09,1113.640991,1122.67395,1104.08606,1120.840942,1120.840942,0.0,179.33455072
000001.SS,1997-07-10,1121.259033,1137.869019,1115.212036,1120.154053,1120.154053,0.0,179.22464848
000001.SS,1997-07-11,1116.415039,1155.05603,1114.396973,1154.793945,1154.793945,0.0,184.7670312
000001.SS,1997-07-14,1189.473999,1201.213989,1180.19104,1200.114014,1200.114014,0.0,192.01824224
000001.SS,1997-07-16,1201.594971,1204.85498,1184.444946,1190.82605,1190.82605,0.0,190.53216800000000
000001.SS,1997-07-17,1188.266968,1203.504028,1180.93396,1197.225952,1197.225952,0.0,191.55615232
000001.SS,1997-07-18,1199.399048,1210.439941,1191.28894,1209.857056,1209.857056,0.0,193.57712896
000001.SS,1997-07-21,1215.838989,1218.480957,1188.875,1193.525024,1193.525024,0.0,190.96400384
000001.SS,1997-07-22,1189.118042,1208.261963,1163.468018,1208.248047,1208.248047,0.0,193.31968752
000001.SS,1997-07-23,1219.055054,1223.822998,1194.703003,1198.860962,1198.860962,0.0,191.81775392
000001.SS,1997-07-24,1194.704956,1200.30896,1172.366943,1174.217041,1174.217041,0.0,187.87472656000000
000001.SS,1997-07-25,1166.56604,1177.652954,1158.135986,1170.862061,1170.862061,0.0,187.33792976
000001.SS,1997-07-28,1167.812988,1167.880005,1138.474976,1141.776978,1141.776978,0.0,182.68431648
000001.SS,1997-07-29,1137.31897,1161.194946,1133.175049,1153.229004,1153.229004,0.0,184.51664064000000
000001.SS,1997-07-30,1157.089966,1179.478027,1157.004028,1179.421021,1179.421021,0.0,188.70736336000000
000001.SS,1997-07-31,1184.937012,1192.199951,1179.714966,1189.76001,1189.76001,0.0,190.3616016
000001.SS,1997-08-01,1191.651001,1194.031006,1182.223022,1192.828003,1192.828003,0.0,190.85248048000000
000001.SS,1997-08-04,1196.254028,1201.920044,1188.676025,1200.333008,1200.333008,0.0,192.05328128000000
000001.SS,1997-08-05,1203.358032,1207.228027,1193.696045,1196.274048,1196.274048,0.0,191.40384768
000001.SS,1997-08-06,1196.035034,1197.444946,1170.266968,1171.94104,1171.94104,0.0,187.5105664
000001.SS,1997-08-07,1167.927002,1199.23999,1161.631958,1199.23999,1199.23999,0.0,191.8783984
000001.SS,1997-08-08,1205.952026,1216.561035,1201.358032,1206.052979,1206.052979,0.0,192.96847664
000001.SS,1997-08-11,1206.456055,1206.759033,1182.447021,1184.083008,1184.083008,0.0,189.45328128000000
000001.SS,1997-08-12,1177.260986,1183.436035,1145.748047,1146.80896,1146.80896,0.0,183.4894336
000001.SS,1997-08-13,1139.245972,1153.494995,1118.202026,1120.126953,1120.126953,0.0,179.22031248
000001.SS,1997-08-14,1120.470947,1168.334961,1120.244995,1168.113037,1168.113037,0.0,186.89808592000000
000001.SS,1997-08-15,1174.182983,1174.881958,1133.890015,1143.063965,1143.063965,0.0,182.89023440000000
000001.SS,1997-08-18,1139.605957,1139.605957,1116.147949,1134.634033,1134.634033,0.0,181.54144528
000001.SS,1997-08-19,1134.616943,1143.20105,1128.109009,1132.905029,1132.905029,0.0,181.26480464
000001.SS,1997-08-20,1135.050049,1144.645996,1133.741943,1144.639038,1144.639038,0.0,183.14224608
000001.SS,1997-08-21,1148.386963,1165.218018,1147.81604,1164.545044,1164.545044,0.0,186.32720704
000001.SS,1997-08-22,1159.385986,1174.485962,1156.82605,1171.833008,1171.833008,0.0,187.49328128000000
000001.SS,1997-08-25,1175.444946,1184.333984,1175.384033,1184.095947,1184.095947,0.0,189.45535152
000001.SS,1997-08-26,1186.06897,1194.130981,1181.243042,1194.042969,1194.042969,0.0,191.04687504
000001.SS,1997-08-27,1195.427979,1199.473999,1188.331055,1198.512939,1198.512939,0.0,191.76207024000000
000001.SS,1997-08-28,1201.05896,1216.07605,1194.675049,1213.891968,1213.891968,0.0,194.22271488000000
000001.SS,1997-08-29,1214.310059,1223.071045,1209.479004,1221.063965,1221.063965,0.0,195.37023440000000
000001.SS,1997-09-01,1224.177002,1230.06604,1219.100952,1229.86499,1229.86499,0.0,196.77839840000000
000001.SS,1997-09-02,1228.474976,1232.69104,1215.921997,1226.302979,1226.302979,0.0,196.20847664000000
000001.SS,1997-09-03,1223.620972,1243.32605,1223.46106,1240.819946,1240.819946,0.0,198.53119136
000001.SS,1997-09-04,1245.775024,1253.152954,1245.640015,1251.297974,1251.297974,0.0,200.20767584
000001.SS,1997-09-05,1250.604004,1253.349976,1241.217041,1251.550049,1251.550049,0.0,200.24800784000000
000001.SS,1997-09-08,1253.14502,1257.54895,1245.744019,1255.229004,1255.229004,0.0,200.83664064
000001.SS,1997-09-09,1255.18103,1257.927002,1230.442017,1231.026978,1231.026978,0.0,196.96431648
000001.SS,1997-09-10,1230.426025,1256.041016,1227.642944,1256.041016,1256.041016,0.0,200.96656256
000001.SS,1997-09-11,1260.519043,1264.489014,1236.113037,1242.713013,1242.713013,0.0,198.83408208
000001.SS,1997-09-12,1240.495972,1247.907959,1207.831055,1208.697021,1208.697021,0.0,193.39152336
000001.SS,1997-09-15,1205.901001,1211.68396,1175.947998,1179.286011,1179.286011,0.0,188.68576176
000001.SS,1997-09-16,1182.756958,1193.847046,1181.168945,1187.219971,1187.219971,0.0,189.95519536
000001.SS,1997-09-17,1188.88501,1191.295044,1162.243042,1167.557007,1167.557007,0.0,186.80912112000000
000001.SS,1997-09-18,1169.670044,1181.748047,1164.64502,1172.365967,1172.365967,0.0,187.57855472
000001.SS,1997-09-19,1174.769043,1185.089966,1168.869019,1184.520996,1184.520996,0.0,189.52335936
000001.SS,1997-09-22,1184.493042,1185.099976,1102.616943,1103.973999,1103.973999,0.0,176.63583984000000
000001.SS,1997-09-23,1096.187012,1105.281982,1025.130005,1041.964966,1041.964966,0.0,166.71439456000000
000001.SS,1997-09-24,1064.661011,1110.107056,1064.661011,1110.011963,1110.011963,0.0,177.60191408
000001.SS,1997-09-25,1118.369019,1130.125977,1106.245972,1117.01001,1117.01001,0.0,178.72160160000000
000001.SS,1997-09-26,1118.689941,1118.94104,1094.42395,1109.634033,1109.634033,0.0,177.54144528
000001.SS,1997-09-29,1106.342041,1106.342041,1079.339966,1084.072021,1084.072021,0.0,173.45152336000000
000001.SS,1997-09-30,1083.41394,1100.385986,1083.232056,1097.383057,1097.383057,0.0,175.58128912
000001.SS,1997-10-06,1100.699951,1105.411011,1091.151978,1098.902954,1098.902954,0.0,175.82447264000000
000001.SS,1997-10-07,1098.293945,1102.712036,1087.017944,1102.572998,1102.572998,0.0,176.41167968000000
000001.SS,1997-10-08,1122.968018,1140.937012,1116.713013,1134.868042,1134.868042,0.0,181.57888672
000001.SS,1997-10-09,1134.590942,1138.656982,1120.088013,1122.465942,1122.465942,0.0,179.59455072
000001.SS,1997-10-10,1121.338013,1131.569946,1120.512939,1130.785034,1130.785034,0.0,180.92560544
000001.SS,1997-10-13,1136.428955,1138.401001,1117.389038,1119.817017,1119.817017,0.0,179.17072272000000
000001.SS,1997-10-14,1116.29895,1118.021973,1105.703979,1117.927979,1117.927979,0.0,178.86847664
000001.SS,1997-10-15,1119.108032,1129.654053,1116.428955,1125.781982,1125.781982,0.0,180.12511712
000001.SS,1997-10-16,1131.400024,1151.394043,1131.394043,1150.307007,1150.307007,0.0,184.04912112000000
000001.SS,1997-10-17,1155.421997,1180.218018,1153.895996,1176.489014,1176.489014,0.0,188.23824224
000001.SS,1997-10-20,1183.744019,1191.040039,1173.557007,1187.368042,1187.368042,0.0,189.97888672000000
000001.SS,1997-10-21,1190.494995,1192.339966,1179.573975,1191.869995,1191.869995,0.0,190.6991992
000001.SS,1997-10-22,1193.70105,1203.017944,1168.480957,1177.52002,1177.52002,0.0,188.40320320000000
000001.SS,1997-10-23,1178.983032,1186.067017,1170.232056,1173.364014,1173.364014,0.0,187.73824224
000001.SS,1997-10-24,1172.884033,1179.805054,1164.063965,1178.30603,1178.30603,0.0,188.5289648
000001.SS,1997-10-27,1183.646973,1235.944946,1183.646973,1235.827026,1235.827026,0.0,197.73232416
000001.SS,1997-10-28,1239.584961,1241.833008,1172.891968,1177.92395,1177.92395,0.0,188.46783200000000
000001.SS,1997-10-29,1168.224976,1188.796997,1162.980957,1184.08606,1184.08606,0.0,189.45376960000000
000001.SS,1997-10-30,1189.265015,1207.969971,1173.649048,1174.845947,1174.845947,0.0,187.97535152
000001.SS,1997-10-31,1164.912964,1181.505981,1158.735962,1180.392944,1180.392944,0.0,188.86287104
000001.SS,1997-11-03,1181.161987,1185.06897,1176.546997,1180.854004,1180.854004,0.0,188.93664064
000001.SS,1997-11-04,1180.86499,1190.470947,1180.86499,1184.699951,1184.699951,0.0,189.55199216000000
000001.SS,1997-11-05,1186.094971,1194.672974,1179.350952,1194.037964,1194.037964,0.0,191.04607424000000
000001.SS,1997-11-06,1198.657959,1203.08606,1179.582031,1181.123047,1181.123047,0.0,188.97968752
000001.SS,1997-11-07,1181.776001,1195.73999,1177.631958,1195.140991,1195.140991,0.0,191.22255856
000001.SS,1997-11-10,1199.368042,1202.578979,1178.630981,1185.784058,1185.784058,0.0,189.72544928
000001.SS,1997-11-11,1183.417969,1187.744019,1168.482056,1186.634033,1186.634033,0.0,189.86144528
000001.SS,1997-11-12,1190.014038,1193.531006,1171.293945,1185.024048,1185.024048,0.0,189.60384768
000001.SS,1997-11-13,1169.703979,1185.281982,1157.293945,1185.024048,1185.024048,0.0,189.60384768
000001.SS,1997-11-14,1187.350952,1208.842041,1181.687012,1197.832031,1197.832031,0.0,191.65312496000000
000001.SS,1997-11-17,1210.677002,1213.228027,1190.43103,1191.333008,1191.333008,0.0,190.61328128000000
000001.SS,1997-11-18,1190.260986,1193.311035,1182.607056,1183.348999,1183.348999,0.0,189.33583984
000001.SS,1997-11-19,1185.103027,1191.963989,1175.782959,1181.626953,1181.626953,0.0,189.06031248
000001.SS,1997-11-20,1182.739014,1189.494995,1169.097046,1172.427002,1172.427002,0.0,187.58832032000000
000001.SS,1997-11-21,1168.968018,1169.10498,1152.008057,1158.555054,1158.555054,0.0,185.36880864
000001.SS,1997-11-24,1150.416016,1150.562988,1122.935059,1124.94104,1124.94104,0.0,179.9905664
000001.SS,1997-11-25,1120.864014,1131.126953,1114.137939,1125.527954,1125.527954,0.0,180.08447264
000001.SS,1997-11-26,1126.595947,1143.817993,1124.477051,1143.817993,1143.817993,0.0,183.01087888000000
000001.SS,1997-11-27,1141.77002,1141.970947,1120.519043,1122.515991,1122.515991,0.0,179.60255856
000001.SS,1997-11-28,1117.56897,1139.640991,1114.432983,1139.628052,1139.628052,0.0,182.34048832000000
000001.SS,1997-12-01,1137.588013,1139.292969,1130.448975,1133.087036,1133.087036,0.0,181.29392576000000
000001.SS,1997-12-02,1133.589966,1139.604004,1128.5,1130.166992,1130.166992,0.0,180.82671872
000001.SS,1997-12-03,1129.776978,1130.317993,1121.593018,1122.546021,1122.546021,0.0,179.60736336000000
000001.SS,1997-12-04,1121.802979,1137.012939,1119.20105,1135.873047,1135.873047,0.0,181.73968752000000
000001.SS,1997-12-05,1139.477051,1144.222046,1134.932007,1136.203979,1136.203979,0.0,181.79263664000000
000001.SS,1997-12-08,1140.546997,1143.079956,1136.578979,1139.322021,1139.322021,0.0,182.29152336000000
000001.SS,1997-12-09,1139.80603,1148.171021,1137.317017,1148.171021,1148.171021,0.0,183.70736336000000
000001.SS,1997-12-10,1150.475952,1158.989014,1149.832031,1157.842041,1157.842041,0.0,185.25472656000000
000001.SS,1997-12-11,1159.053955,1159.753052,1145.546021,1159.168945,1159.168945,0.0,185.46703120000000
000001.SS,1997-12-12,1160.220947,1165.812988,1153.432007,1153.839966,1153.839966,0.0,184.61439456
000001.SS,1997-12-15,1155.719971,1168.05603,1155.604004,1168.026001,1168.026001,0.0,186.88416016
000001.SS,1997-12-16,1170.462036,1174.807007,1165.600952,1174.802002,1174.802002,0.0,187.96832032000000
000001.SS,1997-12-17,1169.644043,1169.737061,1145.890991,1146.521973,1146.521973,0.0,183.44351568
000001.SS,1997-12-18,1142.099976,1159.110962,1138.397949,1154.166016,1154.166016,0.0,184.66656256
000001.SS,1997-12-19,1154.703003,1161.879028,1151.140991,1160.767944,1160.767944,0.0,185.72287104
000001.SS,1997-12-22,1162.682007,1169.029053,1153.439941,1169.006958,1169.006958,0.0,187.04111328
000001.SS,1997-12-23,1171.901978,1176.921997,1165.057007,1171.254028,1171.254028,0.0,187.40064448
000001.SS,1997-12-24,1171.734985,1173.540039,1164.858032,1169.66394,1169.66394,0.0,187.14623040000000
000001.SS,1997-12-25,1170.561035,1181.479004,1169.993042,1181.277954,1181.277954,0.0,189.00447264
000001.SS,1997-12-26,1187.751953,1194.237061,1186.526978,1191.918945,1191.918945,0.0,190.7070312
000001.SS,1997-12-29,1196.296997,1198.973999,1185.656006,1186.605957,1186.605957,0.0,189.85695312000000
000001.SS,1997-12-30,1186.139038,1193.621948,1179.55603,1181.142944,1181.142944,0.0,188.98287104
000001.SS,1997-12-31,1182.253052,1195.046997,1182.246948,1194.102051,1194.102051,0.0,191.05632816000000
000001.SS,1998-01-05,1200.947998,1220.494995,1200.222046,1220.473022,1220.473022,0.0,195.27568352
000001.SS,1998-01-06,1223.72998,1233.63501,1215.409058,1233.619995,1233.619995,0.0,197.37919920000000
000001.SS,1998-01-07,1233.956055,1244.098022,1231.145996,1244.069946,1244.069946,0.0,199.05119136000000
000001.SS,1998-01-08,1243.120972,1250.005005,1235.88501,1237.162964,1237.162964,0.0,197.94607424000000
000001.SS,1998-01-09,1233.70105,1244.999023,1221.296997,1239.901001,1239.901001,0.0,198.38416016
000001.SS,1998-01-12,1242.209961,1246.651001,1226.396973,1226.965942,1226.965942,0.0,196.31455072
000001.SS,1998-01-13,1211.883057,1211.883057,1110.087036,1167.646973,1167.646973,0.0,186.82351568000000
000001.SS,1998-01-14,1170.345947,1203.246948,1170.322021,1202.214966,1202.214966,0.0,192.35439456
000001.SS,1998-01-15,1210.421021,1217.864014,1196.147949,1215.43103,1215.43103,0.0,194.4689648
000001.SS,1998-01-16,1215.819946,1220.973999,1207.918945,1213.962036,1213.962036,0.0,194.23392576000000
000001.SS,1998-01-19,1215.407959,1216.987061,1205.479004,1213.129028,1213.129028,0.0,194.10064448000000
000001.SS,1998-01-20,1211.276001,1215.569946,1195.381958,1203.714966,1203.714966,0.0,192.59439456
000001.SS,1998-01-21,1201.988037,1209.688965,1198.228027,1200.203003,1200.203003,0.0,192.03248048
000001.SS,1998-01-22,1200.520996,1207.45105,1194.383057,1204.430054,1204.430054,0.0,192.70880864
000001.SS,1998-01-23,1206.494995,1224.121948,1206.453979,1222.912964,1222.912964,0.0,195.66607424000000
000001.SS,1998-02-09,1257.994995,1262.623047,1244.426025,1248.040039,1248.040039,0.0,199.68640624
000001.SS,1998-02-10,1248.595947,1248.595947,1233.697998,1236.512939,1236.512939,0.0,197.84207024
000001.SS,1998-02-11,1234.18103,1251.453003,1233.530029,1250.238037,1250.238037,0.0,200.03808592000000
000001.SS,1998-02-12,1253.38501,1254.411011,1241.995972,1246.295044,1246.295044,0.0,199.40720704
000001.SS,1998-02-13,1246.733032,1251.911987,1241.823975,1245.911011,1245.911011,0.0,199.34576176
000001.SS,1998-02-16,1246.796021,1247.964966,1230.917969,1236.235962,1236.235962,0.0,197.79775392
000001.SS,1998-02-17,1234.837036,1240.578979,1228.110962,1238.5,1238.5,0.0,198.16
000001.SS,1998-02-18,1239.633057,1240.177979,1225.496948,1229.831055,1229.831055,0.0,196.77296880000000
000001.SS,1998-02-19,1229.80896,1235.493042,1223.932007,1232.583984,1232.583984,0.0,197.21343744
000001.SS,1998-02-20,1234.600952,1237.915039,1224.583984,1226.02002,1226.02002,0.0,196.1632032
000001.SS,1998-02-23,1217.859009,1217.859009,1195.887939,1208.603027,1208.603027,0.0,193.37648432000000
000001.SS,1998-02-24,1206.925049,1216.353027,1206.089966,1208.218018,1208.218018,0.0,193.31488288
000001.SS,1998-02-25,1208.524048,1209.490967,1191.750977,1194.672974,1194.672974,0.0,191.14767584
000001.SS,1998-02-26,1193.003052,1206.67395,1189.512939,1206.67395,1206.67395,0.0,193.067832
000001.SS,1998-02-27,1209.442017,1213.729004,1202.86499,1206.530029,1206.530029,0.0,193.04480464
000001.SS,1998-03-02,1196.741943,1205.745972,1182.612061,1188.30603,1188.30603,0.0,190.1289648
000001.SS,1998-03-03,1186.52002,1201.800049,1185.302979,1201.78894,1201.78894,0.0,192.2862304
000001.SS,1998-03-04,1204.944946,1214.003052,1201.254028,1213.253052,1213.253052,0.0,194.12048832000000
000001.SS,1998-03-05,1217.850952,1219.284058,1206.371948,1207.541016,1207.541016,0.0,193.20656256000000
000001.SS,1998-03-06,1208.749023,1208.978027,1202.124023,1206.452026,1206.452026,0.0,193.03232416
000001.SS,1998-03-09,1207.958984,1208.615967,1197.56897,1200.833984,1200.833984,0.0,192.13343744000000
000001.SS,1998-03-10,1199.625,1205.832031,1186.551025,1199.832031,1199.832031,0.0,191.97312496000000
000001.SS,1998-03-11,1201.261963,1210.525024,1187.442017,1190.036987,1190.036987,0.0,190.40591792
